TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          IPRED       IWRES       DV          PRED        RES         WRES
  3.0000E+00  4.5000E+01  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.7317E-03 -1.7317E-03  0.0000E+00  1.7317E-03  0.0000E+00  0.0000E+00
  3.0000E+00  4.5000E+01  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.7317E-03 -1.7317E-03  0.0000E+00  1.7317E-03  0.0000E+00  0.0000E+00
  3.0000E+00  4.5000E+01  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.7317E-03 -1.7317E-03  0.0000E+00  1.7317E-03  0.0000E+00  0.0000E+00
  3.0000E+00  6.0000E+01  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.9757E-04 -1.9757E-04  0.0000E+00  1.9757E-04  0.0000E+00  0.0000E+00
  3.0000E+00  6.0000E+01  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.9757E-04 -1.9757E-04  0.0000E+00  1.9757E-04  0.0000E+00  0.0000E+00
  3.0000E+00  6.0000E+01  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.9757E-04 -1.9757E-04  0.0000E+00  1.9757E-04  0.0000E+00  0.0000E+00
  3.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  3.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  3.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  3.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  3.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  3.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  4.0000E+00  2.0000E+00  4.2806E-01  0.0000E+00  1.0000E+00  1.0000E+00  8.2858E-01 -4.0052E-01  4.2806E-01  8.2858E-01 -4.0052E-01 -2.3028E+00
  4.0000E+00  2.0000E+00  7.5711E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.4260E-02  4.1451E-02  7.5711E-02  3.4260E-02  4.1451E-02  2.3832E-01
  4.0000E+00  2.0000E+00  2.2091E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.9007E-01  3.0845E-02  2.2091E-01  1.9007E-01  3.0845E-02  1.7734E-01
  4.0000E+00  5.0000E+00  6.0749E-01  0.0000E+00  1.0000E+00  1.0000E+00  5.4645E-01  6.1042E-02  6.0749E-01  5.4645E-01  6.1042E-02  3.5097E-01
  4.0000E+00  5.0000E+00  6.2910E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.5928E-02  6.9825E-03  6.2910E-02  5.5928E-02  6.9825E-03  4.0146E-02
  4.0000E+00  5.0000E+00  2.2759E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1462E-01 -8.7030E-02  2.2759E-01  3.1462E-01 -8.7030E-02 -5.0038E-01
  4.0000E+00  1.0000E+01  2.6508E-01  0.0000E+00  1.0000E+00  1.0000E+00  2.6973E-01 -4.6509E-03  2.6508E-01  2.6973E-01 -4.6509E-03 -2.6741E-02
  4.0000E+00  1.0000E+01  4.3093E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.4691E-02 -1.1598E-02  4.3093E-02  5.4691E-02 -1.1598E-02 -6.6682E-02
  4.0000E+00  1.0000E+01  2.0214E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1336E-01 -1.1122E-01  2.0214E-01  3.1336E-01 -1.1122E-01 -6.3945E-01
